initial size: 69.5
Action Set reward: 0.0682
Num of possible actions: 97
episode: 0|	 Explored Space: 1|	 Best: 134.4|	Seen: [134.4]
episode: 10|	 Explored Space: 11|	 Best: 107.2|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2]
episode: 20|	 Explored Space: 21|	 Best: 96.7|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1]
episode: 30|	 Explored Space: 29|	 Best: 96.7|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2]
episode: 40|	 Explored Space: 37|	 Best: 95.6|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1]
episode: 50|	 Explored Space: 43|	 Best: 95.6|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6]
episode: 60|	 Explored Space: 49|	 Best: 95.6|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9]
episode: 70|	 Explored Space: 54|	 Best: 95.6|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9]
episode: 80|	 Explored Space: 59|	 Best: 95.6|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0]
episode: 90|	 Explored Space: 63|	 Best: 95.5|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0, 95.5, 98.7, 101.5, 96.6]
episode: 100|	 Explored Space: 69|	 Best: 95.5|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0, 95.5, 98.7, 101.5, 96.6, 102.1, 102.2, 98.2, 95.7, 98.3, 105.2]
episode: 110|	 Explored Space: 73|	 Best: 95.5|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0, 95.5, 98.7, 101.5, 96.6, 102.1, 102.2, 98.2, 95.7, 98.3, 105.2, 100.5, 96.2, 101.6, 105.6]
episode: 120|	 Explored Space: 78|	 Best: 95.5|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0, 95.5, 98.7, 101.5, 96.6, 102.1, 102.2, 98.2, 95.7, 98.3, 105.2, 100.5, 96.2, 101.6, 105.6, 103.3, 99.5, 106.0, 104.0, 97.3]
episode: 130|	 Explored Space: 78|	 Best: 95.5|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0, 95.5, 98.7, 101.5, 96.6, 102.1, 102.2, 98.2, 95.7, 98.3, 105.2, 100.5, 96.2, 101.6, 105.6, 103.3, 99.5, 106.0, 104.0, 97.3]
episode: 140|	 Explored Space: 82|	 Best: 95.5|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0, 95.5, 98.7, 101.5, 96.6, 102.1, 102.2, 98.2, 95.7, 98.3, 105.2, 100.5, 96.2, 101.6, 105.6, 103.3, 99.5, 106.0, 104.0, 97.3, 104.4, 106.5, 106.8, 97.9]
episode: 150|	 Explored Space: 84|	 Best: 95.5|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0, 95.5, 98.7, 101.5, 96.6, 102.1, 102.2, 98.2, 95.7, 98.3, 105.2, 100.5, 96.2, 101.6, 105.6, 103.3, 99.5, 106.0, 104.0, 97.3, 104.4, 106.5, 106.8, 97.9, 102.0, 104.1]
episode: 160|	 Explored Space: 88|	 Best: 95.5|	Seen: [134.4, 131.1, 126.2, 130.0, 131.3, 130.2, 127.8, 123.7, 127.3, 120.9, 107.2, 98.0, 99.0, 98.9, 96.7, 99.8, 101.2, 105.3, 99.2, 99.3, 97.1, 100.6, 100.0, 97.8, 105.7, 97.4, 100.7, 98.5, 97.2, 95.6, 97.6, 103.9, 97.5, 100.3, 96.4, 99.9, 100.1, 101.8, 101.7, 100.2, 104.5, 99.7, 98.6, 100.4, 99.6, 105.4, 96.0, 100.9, 101.9, 98.1, 104.7, 102.8, 98.4, 105.9, 104.6, 103.4, 105.1, 105.5, 101.0, 95.5, 98.7, 101.5, 96.6, 102.1, 102.2, 98.2, 95.7, 98.3, 105.2, 100.5, 96.2, 101.6, 105.6, 103.3, 99.5, 106.0, 104.0, 97.3, 104.4, 106.5, 106.8, 97.9, 102.0, 104.1, 103.1, 101.4, 104.3, 103.6]
